bench,suite,surface,engine,system,completed_tasks,selected_tasks,ungraded_tasks,total_failed,summary_score,score_mean_from_array,score_bootstrap_ci95_low,score_bootstrap_ci95_high,latency_median_s,latency_mean_s,latency_p90_s,latency_p95_s,latency_max_s,citations_mean,known_cost_usd,run_dir
pi-glm-5-2-evalkey-clean,dsqa,1-turn,perplexity,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.19,0.19,0.12,0.27,18.302,40.630300000000005,41.14729999999999,102.36999999999942,583.323,18.82,9.803643,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c
pi-glm-5-2-evalkey-clean,dsqa,5-turn,exa,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.48,0.48,0.38,0.58,33.052,48.3863,78.06699999999998,103.97539999999994,407.443,43.64,25.782002,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-b78f62122d1b
pi-glm-5-2-evalkey-clean,dsqa,5-turn,parallel,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.15,0.15,0.08,0.22,37.71,44.80814,72.14109999999995,93.0005,291.509,46.69,17.679302,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-bdf0e0403a43
pi-glm-5-2-evalkey-clean,dsqa,5-turn,perplexity,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.43,0.43,0.34,0.53,36.601,54.601710000000004,91.24109999999999,103.15534999999991,478.985,42.7,17.138897,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-c409a6410739
pi-glm-5-2-evalkey-clean,dsqa,25-turn,exa,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.66,0.66,0.57,0.75,80.3185,103.20592,204.51159999999996,280.2313999999998,435.638,58.43,39.636788,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-f70553ef463d
pi-glm-5-2-evalkey-clean,dsqa,25-turn,parallel,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.46,0.46,0.36,0.56,96.2105,127.27962,224.38569999999996,270.7094,648.164,69.11,49.418495,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-d3097d75f401
pi-glm-5-2-evalkey-clean,dsqa,25-turn,perplexity,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.67,0.67,0.58,0.76,74.00200000000001,108.16994000000001,227.4201,286.5122999999999,536.817,65.89,35.86342,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-2ebb3ee1a45d
pi-glm-5-2-evalkey-clean,hle,plugin,exa,pi-openrouter-plugin-defaults-glm-5-2-nitro-exa,100,100,0,0,0.3,0.3,0.21,0.39,125.286,193.71484,453.8852,540.7753499999999,751.447,4.99,21.704669,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-exa-hle-pi-glm-5-2-evalkey-clean-scale-seed0-1cc7534a0731
pi-glm-5-2-evalkey-clean,hle,plugin,parallel,pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.18,0.18,0.11,0.26,222.0405,253.8868,612.9699,682.92545,985.971,4.88,23.90872,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel-hle-pi-glm-5-2-evalkey-clean-scale-seed0-a5d505939ba3
pi-glm-5-2-evalkey-clean,hle,plugin,perplexity,pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.22,0.22,0.14,0.31,104.1445,179.65912,420.90759999999995,460.4018999999999,662.228,4.68,22.973555,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity-hle-pi-glm-5-2-evalkey-clean-scale-seed0-daac3ca438cd
pi-glm-5-2-evalkey-clean,hle,1-turn,exa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.23,0.23,0.15,0.32,33.539,73.22705,189.97449999999992,263.9965,519.844,15.52,14.055175,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa-hle-pi-glm-5-2-evalkey-clean-scale-seed0-afdadd99286d
pi-glm-5-2-evalkey-clean,hle,1-turn,parallel,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.13,0.13,0.07,0.2,34.6525,92.95889,282.88589999999976,431.891,551.544,16.03,14.151013,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel-hle-pi-glm-5-2-evalkey-clean-scale-seed0-349351334f7a
pi-glm-5-2-evalkey-clean,hle,1-turn,perplexity,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.21,0.21,0.13,0.29,27.231499999999997,70.74269,183.54129999999998,273.00464999999997,597.337,15.26,16.337065,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-hle-pi-glm-5-2-evalkey-clean-scale-seed0-1cbdfdd94718
pi-glm-5-2-evalkey-clean,hle,5-turn,exa,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.4,0.4,0.3,0.5,81.274,171.39118,477.6466999999999,602.69985,854.477,31.3,24.004105,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa-hle-pi-glm-5-2-evalkey-clean-scale-seed0-902091e467de
pi-glm-5-2-evalkey-clean,hle,5-turn,parallel,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.2,0.2,0.12,0.28,77.3455,124.63571,334.41729999999984,417.9021499999999,632.053,38.41,23.243771,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel-hle-pi-glm-5-2-evalkey-clean-scale-seed0-950a0e7f3a3b
pi-glm-5-2-evalkey-clean,hle,5-turn,perplexity,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.32,0.32,0.23,0.41,55.8805,121.21979999999999,277.02359999999993,431.43554999999947,1014.467,32.04,27.838691,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity-hle-pi-glm-5-2-evalkey-clean-scale-seed0-d4a623fc2c28
pi-glm-5-2-evalkey-clean,hle,25-turn,exa,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.5,0.5,0.4,0.6,128.1685,213.35667,526.7268999999999,859.7107,1156.875,35.49,35.956812,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa-hle-pi-glm-5-2-evalkey-clean-scale-seed0-5d5eb09bfa81
pi-glm-5-2-evalkey-clean,hle,25-turn,parallel,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.47,0.47,0.37,0.57,141.518,235.87349999999998,733.1999,793.3617,1082.761,48.76,38.240818,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel-hle-pi-glm-5-2-evalkey-clean-scale-seed0-28397ea477ad
pi-glm-5-2-evalkey-clean,hle,25-turn,perplexity,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.46,0.46,0.36,0.56,92.612,177.83306000000002,414.68599999999964,705.2390499999997,1122.327,42.15,33.516848,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity-hle-pi-glm-5-2-evalkey-clean-scale-seed0-7c1b3c116500
pi-glm-5-2-evalkey-clean,widesearch,plugin,exa,pi-openrouter-plugin-defaults-glm-5-2-nitro-exa,100,100,0,0,0.44859467570620454,0.44859467570620454,0.3753559308915486,0.5218735788604643,65.226,127.3317,304.7195,344.02099999999984,982.457,5.0,13.216025,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-exa-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-7d49fa5f4b04
pi-glm-5-2-evalkey-clean,widesearch,plugin,parallel,pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.3039068500271052,0.3039068500271052,0.23319676777620368,0.37759102386544086,43.786500000000004,104.31523999999999,273.60109999999986,370.40864999999997,458.443,4.55,14.87411,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-b536b9d03d11
pi-glm-5-2-evalkey-clean,widesearch,plugin,perplexity,pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.3331112283747013,0.3331112283747013,0.2599710141118146,0.40944827409530865,31.3335,85.09019,272.90329999999994,323.73035,412.408,4.9,11.264762,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-e1d22484af37
pi-glm-5-2-evalkey-clean,widesearch,1-turn,exa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.049822619047619046,0.049822619047619046,0.012113095238095237,0.09492154761904757,20.979,41.36359,79.73519999999999,101.57444999999993,717.848,30.3,9.145499,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-61526b218bae
pi-glm-5-2-evalkey-clean,widesearch,1-turn,parallel,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.011013524936601859,0.011013524936601859,0.0,0.030979430825584676,13.6145,33.600319999999996,24.871899999999993,47.753699999999554,560.901,27.25,9.012123,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-62fc066fd67e
pi-glm-5-2-evalkey-clean,widesearch,1-turn,perplexity,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.07625413533834587,0.07625413533834587,0.029035087719298244,0.12995588972431077,12.9765,19.79893,29.5244,42.58034999999999,257.918,29.58,10.072994,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-318ed0bcecb3
pi-glm-5-2-evalkey-clean,widesearch,5-turn,exa,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.2258185986029724,0.2258185986029724,0.15058506186818227,0.30552364578683594,49.9745,79.39598,151.51149999999998,181.32094999999993,419.049,84.72,34.628993,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-cc6002550b8e
pi-glm-5-2-evalkey-clean,widesearch,5-turn,parallel,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.028372222222222222,0.028372222222222222,0.0,0.06357222222222221,41.3755,58.31588,81.93539999999999,103.20364999999993,705.885,79.8,29.68009,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-63811fd09380
pi-glm-5-2-evalkey-clean,widesearch,5-turn,perplexity,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.23724217292890748,0.23724217292890748,0.15924515320692478,0.31655643673145656,59.754,97.06460000000001,217.90159999999997,257.83565,522.826,82.0,30.648809,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-a16a3131ba06
pi-glm-5-2-evalkey-clean,widesearch,25-turn,exa,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa,98,100,2,0,0.7321660681792774,0.7321660681792774,0.6730406533220018,0.785828012078463,192.558,212.3855918367347,373.1366999999999,511.07150000000007,683.272,114.08163265306122,70.044516,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-78aed15128d3
pi-glm-5-2-evalkey-clean,widesearch,25-turn,parallel,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel,99,100,1,0,0.4885205394370778,0.4885205394370778,0.4090141807737431,0.5657982840190169,188.048,238.00133333333335,436.2042,618.5310999999998,776.917,114.66666666666667,80.399163,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-parallel-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-bd6b131bd637
pi-glm-5-2-evalkey-clean,widesearch,25-turn,perplexity,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity,99,100,1,0,0.7289351680568451,0.7289351680568451,0.6674692333728541,0.7874615517578754,184.213,262.2159595959596,610.1752,764.0318,1099.14,110.85858585858585,63.93348,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-perplexity-widesearch-pi-glm-5-2-evalkey-clean-scale-seed0-09d7dc12fce3
