bench,suite,system,surface,engine,run_dir,task_dir,task_id,attempt_number,grade_type,score,agent_latency_s,url_citations,citation_unique_urls,citation_content_chars_total,turns,tool_calls,f1_by_item,f1_by_row,precision_by_item,precision_by_row,recall_by_item,recall_by_row,success_rate
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000014-0c86bb8e-d72a-5c71-95fe-ac991b39d4d2,0c86bb8e-d72a-5c71-95fe-ac991b39d4d2,1,CORRECT,1.0,28.635,19,14,32128,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000015-361ceab7-b14e-501d-8393-156ea0a74ee2,361ceab7-b14e-501d-8393-156ea0a74ee2,1,INCORRECT,0.0,23.562,20,20,16123,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000016-b91df7c2-c554-528d-be33-c6130fe8ba90,b91df7c2-c554-528d-be33-c6130fe8ba90,1,INCORRECT,0.0,21.059,19,16,11732,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000017-638a545a-f619-5e3d-adae-3f04ada5b5b7,638a545a-f619-5e3d-adae-3f04ada5b5b7,1,INCORRECT,0.0,17.577,25,22,26204,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000018-a86ad1b7-3ee2-5335-a550-e9806ca66675,a86ad1b7-3ee2-5335-a550-e9806ca66675,1,INCORRECT,0.0,13.234,20,19,22722,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000019-a3ac290d-42b4-552c-84fe-35a06ea4588d,a3ac290d-42b4-552c-84fe-35a06ea4588d,1,INCORRECT,0.0,37.691,14,9,12195,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000020-2d37a4c9-99cf-5b23-b5f3-62b02b8ff0c3,2d37a4c9-99cf-5b23-b5f3-62b02b8ff0c3,1,CORRECT,1.0,22.184,25,24,25752,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000021-05d7fd1d-6c14-5428-adf1-ae1990ce39dd,05d7fd1d-6c14-5428-adf1-ae1990ce39dd,1,INCORRECT,0.0,17.269,19,16,13910,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000022-f0de25d6-9bfb-5f6e-9910-a51bcd1eb7ad,f0de25d6-9bfb-5f6e-9910-a51bcd1eb7ad,1,INCORRECT,0.0,16.988,15,13,21731,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000023-33d9b1c2-db11-518d-8231-c17926508b8b,33d9b1c2-db11-518d-8231-c17926508b8b,1,INCORRECT,0.0,19.784,25,25,15028,1,0,,,,,,,
